,Point ID,,X,Y,Z
GRID,100149,,5.29685E-01,-1.72105E-01,4.51986E-01
GRID,100150,,5.19951E-01,-1.99591E-01,4.51986E-01
GRID,100151,,5.08793E-01,-2.26529E-01,4.51986E-01
GRID,100152,,4.96240E-01,-2.52847E-01,4.51986E-01
GRID,100153,,4.82327E-01,-2.78472E-01,4.51986E-01
GRID,100154,,4.67092E-01,-3.03333E-01,4.51986E-01
GRID,100155,,4.50576E-01,-3.27363E-01,4.51986E-01
GRID,100156,,4.32826E-01,-3.50496E-01,4.51986E-01
GRID,100157,,4.13890E-01,-3.72668E-01,4.51986E-01
GRID,100158,,3.93818E-01,-3.93818E-01,4.51986E-01
GRID,100159,,3.72668E-01,-4.13890E-01,4.51986E-01
GRID,100160,,4.67092E-01,3.03333E-01,4.51986E-01
GRID,100161,,4.50576E-01,3.27363E-01,4.51986E-01
GRID,100162,,4.32826E-01,3.50496E-01,4.51986E-01
GRID,100163,,4.13890E-01,3.72668E-01,4.51986E-01
GRID,100164,,3.93818E-01,3.93818E-01,4.51986E-01
GRID,100165,,3.72668E-01,4.13890E-01,4.51986E-01
GRID,100166,,3.50496E-01,-4.32826E-01,4.51986E-01
GRID,100167,,3.54516E-01,-4.37791E-01,4.51986E-01
GRID,100168,,3.57453E-01,-4.41418E-01,4.51986E-01
GRID,100169,,3.62558E-01,-4.47722E-01,4.51986E-01
GRID,100170,,3.66579E-01,-4.52687E-01,4.51986E-01
GRID,100171,,3.50496E-01,4.32826E-01,4.51986E-01
GRID,100172,,3.54517E-01,4.37792E-01,4.51986E-01
GRID,100173,,3.57453E-01,4.41418E-01,4.51986E-01
GRID,100174,,3.62558E-01,4.47722E-01,4.51986E-01
GRID,100175,,3.66578E-01,4.52686E-01,4.51986E-01
GRID,100176,,4.61734E-01,2.99853E-01,4.51986E-01
GRID,100177,,4.76794E-01,2.75277E-01,4.51986E-01
GRID,100178,,4.90548E-01,2.49947E-01,4.51986E-01
GRID,100179,,5.02957E-01,2.23931E-01,4.51986E-01
GRID,100180,,5.13987E-01,1.97301E-01,4.51986E-01
GRID,100181,,5.23608E-01,1.70131E-01,4.51986E-01
GRID,100182,,5.31795E-01,1.42494E-01,4.51986E-01
GRID,100183,,5.38524E-01,1.14467E-01,4.51986E-01
GRID,100184,,5.43776E-01,8.61256E-02,4.51986E-01
GRID,100185,,5.47539E-01,5.75486E-02,4.51986E-01
GRID,100186,,5.49800E-01,2.88138E-02,4.51986E-01
GRID,100187,,5.50555E-01,2.4066-8,4.51986E-01
GRID,100188,,5.49800E-01,-2.88130E-02,4.51986E-01
GRID,100189,,5.47539E-01,-5.75480E-02,4.51986E-01
GRID,100190,,5.43776E-01,-8.61250E-02,4.51986E-01
GRID,100191,,5.38524E-01,-1.14467E-01,4.51986E-01
GRID,100192,,5.31795E-01,-1.42494E-01,4.51986E-01
GRID,100193,,5.23608E-01,-1.70131E-01,4.51986E-01
GRID,100194,,5.13987E-01,-1.97301E-01,4.51986E-01
GRID,100195,,5.02957E-01,-2.23931E-01,4.51986E-01
GRID,100196,,4.90548E-01,-2.49946E-01,4.51986E-01
GRID,100197,,4.76794E-01,-2.75277E-01,4.51986E-01
